"","name","importance"
"1","ABCG2",0.10250665795593
"2","ADH1C",0.0989793459340642
"3","ADORA1",0.092883422345644
"4","ANKRD30A",0
"5","APOE",0.418390013205515
"6","ASNA1",0.162371246750102
"7","ATG4C",0.00581994497943125
"8","ATOH1",0.0721397666578435
"9","ATP10B",0.0124368061611488
"10","ATP13A2",0.816911743860679
"11","ATP1A3",0.119299052721588
"12","BST1",0.155894607587237
"13","BTNL2",0.019853699436907
"14","CABIN1",0.0522975921519961
"15","CAPS2",0.0942021384743552
"16","CCSER1",0.0696757168100052
"17","CD36",0.169542476396963
"18","CEL",0.0355512766508847
"19","CHCHD2",0.586971051155719
"20","CLU",0.362827873494848
"21","COL15A1",0.0228766805263399
"22","COL6A5",0.00216660476540547
"23","COMT",0.337827121838419
"24","CP",0.110664273050855
"25","CPS1",0.0111115190752493
"26","CR1",0.0146318845066577
"27","CSMD1",0.0671949821670983
"28","DARS",0.0408296537902338
"29","DARS1",0.0239162570728453
"30","DCTN1",0.24239550082675
"31","DGKQ",0.305126708904899
"32","DIS3",0.0770493441986067
"33","DNAH8",0.00546156915513767
"34","DNAJC13",0.609536457377117
"35","DNAJC6",0.645026596858325
"36","DRD4",0.0644907145348843
"37","EIF4G1",0.68360711806645
"38","ELOA2",0.00164366293484715
"39","FAM13A",0.0722130125222199
"40","FAM13A-AS1",0.0537531701613705
"41","FAM47E",0.192486455907241
"42","FAM71A",0.0604155598805231
"43","FAM90A1",0.0214473609183926
"44","FBXO7",0.683628981217959
"45","FER1L6",0.154412911646305
"46","GAK",0.618318937622395
"47","GALNT3",0.0714818668974438
"48","GBA",0.874161164682564
"49","GCH1",0.136103700309526
"50","GET3",0.0383286762234082
"51","GH2",0.0016830212269082
"52","GIGYF2",0.602421280082615
"53","GPATCH2L",0.0860100370692122
"54","GPRIN3",0.104044477553163
"55","GRAMD1C",0.0211395722803716
"56","GRID2",0.171161963852801
"57","GRN",0.404650681078969
"58","HERC3",0.0651746233109616
"59","HERC5",0.0463322360586478
"60","HERC6",0.153239896451558
"61","HLA-DRA",0.0489090809520112
"62","HTRA2",0.642803898115395
"63","IFI35",0.0758091018733812
"64","ITPR1",0.254014002154819
"65","KALRN",0.0679266567315003
"66","KIF21A",0.0952630191078162
"67","L2HGDH",0.0215430891341615
"68","LPA",0.0372801524155839
"69","LRP10",0.239442531972318
"70","LRRK2",0.971282250262399
"71","MAP3K6",0.00604835559246836
"72","MAPT",0.68442576840347
"73","MCCC1",0.340009074694965
"74","MMRN1",0.0702229856069781
"75","MNS1",0.0319831451010252
"76","MS4A5",0.00338942129248572
"77","MS4A6A",0.0713112235397161
"78","NAP1L5",0.0628306628954292
"79","NUCKS1",0.170091039756966
"80","NUS1",0.0470742962928824
"81","OGN",0.0235208872180015
"82","PARK7",0.879550063715487
"83","PCDHA9",0.0505223332284246
"84","PCGF3",0.0270389726602325
"85","PICALM",0.206077072719099
"86","PIGY",0.0119335300609893
"87","PINK1",0.9549724453993
"88","PKD2",0.189031062167193
"89","PLA2G6",0.731017753356598
"90","PLIN4",0.0358258512054495
"91","PM20D1",0.000466058313051035
"92","PODXL",0.343077747368021
"93","POLG",0.161712143740981
"94","POMC",0.0444870833741336
"95","PPM1K",0.0604921346686092
"96","PRB3",0.122497363377877
"97","PRDM2",0.0639132195548365
"98","PRKN",0.933918782462844
"99","PRMT3",0.182335456255114
"100","PRNP",0.355398117622334
"101","PSEN1",0.567086779527449
"102","PTCHD3",3.14592432911869e-05
"103","PTEN",0.257100072366756
"104","PTPRH",0.058452422734932
"105","PTRHD1",0.231605351924475
"106","PYURF",0.170744152186472
"107","PZP",0.171748808028527
"108","RAB39B",0.477106144608296
"109","RFPL2",0.0462908703361458
"110","RIC3",0.358824734510901
"111","RIT2",0.195813311008079
"112","SCARF2",0.021731579049573
"113","SCN3A",0.0602322328311463
"114","SEMA5A",0.137751883488872
"115","SLC18A2",0.257457543076724
"116","SLC2A13",0.0111384317101635
"117","SLC30A10",0.0884743863061558
"118","SLC41A1",0.101447980800095
"119","SLC45A3",0.0997460696718796
"120","SLC50A1",0.155074034859196
"121","SLC6A3",0.393952740068954
"122","SMARCAD1",0.0842542163206114
"123","SMPD1",0.232871108140283
"124","SNCA",1
"125","SPG7",0.228295130299364
"126","SPP1",0.0734677061360261
"127","SPPL2C",0.0785450974818602
"128","SREBF1",0.0763210382961505
"129","SVOPL",0.100610231017024
"130","SYNJ1",0.607279817486148
"131","TARDBP",0.513001897832219
"132","TBC1D24",0.0671033973793122
"133","TH",0.344417999242683
"134","TIGD2",0.091892409967574
"135","TMEM134",0.185239473834153
"136","TMEM175",0.430118653761609
"137","TMEM230",0.599808961990431
"138","TNK2",0.107800219750756
"139","TNR",0.0684289964623545
"140","TWNK",0.0812509975735639
"141","UCHL1",0.630369293358388
"142","UHRF1BP1L",0.0612593945766443
"143","UQCRC1",0.155074396336928
"144","USP20",0.0987154903947626
"145","USP24",0.0705205519769743
"146","USP40",0.167124555289087
"147","VAPB",0.200940707392937
"148","VPS13C",0.557405812158828
"149","VPS35",0.781360206093842
"150","WDR45",0.24198913739387
"151","WFS1",0.177921438616083
"152","ZNF516",0.0561228874669014
"153","ZNF543",0.0461228110654549
